Acquedolci-S.F.	ASF
Agliano C.C.	ACC
Agrigento C.le	AOC
Alano Fener Val.	AFV
Bari C.le	BIC
Bologna C.le	BAC
Bologna C.le/Av	BCV
Calalzo PC Cort.	CPC
Caltanissetta C.le	CAC
Catania C.le	ECA
Gorizia C.le	AGE
La Spezia C.le	LSC
Lamezia T. Centrale	LTC
Lamezia T. C.le	LTC
Lamezia T. Nicastro	LTN
Lamezia T. Sambiase	LTS
Livorno C.le	LOL
Milano C.le	MOC
Messina C.le	MAL
MI P.Garibaldi	MPI
MI P. Romana	MPR
MI P. Vittoria	MPV
Napoli C.le	NIE
NA Piazza Garib.	NPG
Palermo C.le	POC
Pisa C.le	PAR
Praja A.T	ZYR
Prato C.le	EOP
Reggio C. C.le	RCL
Reggio C. Lido	RCD
Rho Fiera Milano	RHO
S.Demetrio V.	SDI
Torre Annunziata C.le	TAE
Trieste C.le	TEE
Vibo Pizzo	VVP
Albairate V.	AEO
Verona P.Nuova	VPN
BRENNERO	RRB
Ponte nelle Alpi	PNP
Bologna San Vitale	BSV
Falconara M.	FAM
Forli'	FLL
Prato C.Le	EOP
Forlimpopoli B.	FLI
Firenze C.Marte	FCE
Bologna	BAC